,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Ixtapa,5,MX,1559155506,65,20.71,-105.21,84.0,8.05
1,Kruisfontein,9,ZA,1559156077,80,-34.0,24.73,56.14,6.67
2,Belaya Gora,47,RU,1559155545,52,68.54,146.19,48.58,18.34
3,Vaini,92,IN,1559155801,81,15.34,74.49,82.24,3.15
4,Misratah,65,LY,1559155795,71,32.38,15.09,71.08,13.02
5,Tura,0,IN,1559156078,82,25.52,90.21,79.18,5.57
6,Broome,75,GB,1559155488,87,52.47,1.45,57.0,16.11
7,Nandgaon,0,IN,1559156079,20,20.31,74.66,95.02,12.66
8,Tasiilaq,20,GL,1559156080,64,65.61,-37.64,39.2,11.41
9,New Norfolk,75,AU,1559156080,65,-42.78,147.06,44.6,8.05
10,Port Macquarie,90,AU,1559156082,62,-31.43,152.91,59.0,5.82
11,Kapit,100,MY,1559156082,95,2.02,112.94,75.22,1.66
12,Isiro,28,CD,1559156082,77,2.77,27.62,71.98,1.14
13,Smithers,20,CA,1559155836,45,54.78,-127.17,68.0,2.24
14,Sinnamary,37,GF,1559156084,80,5.38,-52.96,82.42,15.14
15,Koumac,100,NC,1559156085,74,-20.56,164.28,73.96,2.62
16,Ushuaia,75,AR,1559155770,75,-54.81,-68.31,44.6,23.04
17,Eyl,100,SO,1559156085,51,7.98,49.82,87.82,16.96
18,Maragogi,5,BR,1559156086,83,-9.01,-35.22,79.9,8.12
19,Hobart,75,AU,1559156086,65,-42.88,147.33,44.6,8.05
20,Half Moon Bay,75,US,1559155885,63,37.46,-122.43,72.0,8.05
21,Busselton,0,AU,1559155807,48,-33.64,115.35,54.0,26.24
22,Troitsko-Pechorsk,0,RU,1559156087,76,62.71,56.19,45.16,3.87
23,Rikitea,88,PF,1559155803,82,-23.12,-134.97,76.12,25.81
24,Leningradskiy,99,RU,1559156088,85,69.38,178.42,31.12,18.14
25,Hami,85,CN,1559155542,18,42.84,93.51,70.36,7.83
26,Puerto Escondido,75,MX,1559156088,70,15.86,-97.07,84.2,8.05
27,Butaritari,100,KI,1559156089,78,3.07,172.79,83.5,12.21
28,North Bend,1,US,1559156089,77,43.41,-124.22,63.0,11.41
29,Arlit,0,NE,1559156090,7,18.74,7.39,100.6,7.29
30,Ventspils,0,LV,1559156090,81,57.39,21.56,50.0,6.93
31,Sao Joao da Barra,75,BR,1559156090,48,-21.64,-41.05,87.8,6.11
32,Punta Arenas,0,CL,1559156091,65,-53.16,-70.91,44.6,13.87
33,Chuy,43,UY,1559155804,63,-33.69,-53.46,62.26,9.48
34,Marsa Matruh,75,EG,1559156091,94,31.35,27.25,71.6,11.41
35,Victoria,75,BN,1559155960,74,5.28,115.24,84.2,3.36
36,Karratha,21,AU,1559155447,31,-20.74,116.85,78.46,9.35
37,Mataura,98,NZ,1559156092,92,-46.19,168.86,46.99,4.12
38,Nantucket,90,US,1559156092,76,41.28,-70.1,55.99,10.29
39,Koudougou,66,BF,1559156093,27,12.25,-2.37,101.32,2.86
40,Bambous Virieux,75,MU,1559156093,73,-20.34,57.76,71.6,19.46
41,Vardo,75,US,1559155808,43,39.62,-77.74,91.4,9.17
42,San Jeronimo,0,PE,1559156093,38,-13.65,-73.37,60.8,10.96
43,Saskylakh,99,RU,1559155804,91,71.97,114.09,26.98,8.72
44,Port Alfred,0,ZA,1559156094,86,-33.59,26.89,56.86,14.76
45,Petropavlovka,7,RU,1559156094,63,50.61,105.32,31.48,3.0
46,Khatanga,14,RU,1559156095,90,71.98,102.47,35.44,13.33
47,Carnarvon,97,ZA,1559155803,30,-30.97,22.13,61.72,8.34
48,Avarua,17,CK,1559156097,73,-21.21,-159.78,75.2,8.05
49,Edd,1,ER,1559156097,48,13.93,41.69,91.24,5.93
50,Kapaa,1,US,1559156098,83,22.08,-159.32,82.4,4.7
51,Miyang,21,CN,1559156099,93,24.4,103.44,63.7,3.87
52,Karabulak,0,KZ,1559156099,46,44.91,78.49,63.7,4.65
53,Chokurdakh,13,RU,1559155803,91,70.62,147.9,29.86,13.15
54,Obo,98,CF,1559156099,65,5.39,26.49,77.2,1.16
55,Kassala,73,SD,1559156100,27,15.45,36.38,98.8,8.5
56,Atuona,14,PF,1559156100,77,-9.8,-139.03,82.06,13.22
57,Srednekolymsk,37,RU,1559156101,53,67.46,153.71,47.86,12.93
58,Luderitz,0,NA,1559156102,68,-26.65,15.16,61.36,11.16
59,Antofagasta,75,CL,1559156102,72,-23.65,-70.4,69.01,3.36
60,Cherskiy,0,RU,1559156103,78,68.75,161.3,37.24,6.44
61,Wahpeton,1,US,1559156104,36,46.27,-96.61,79.0,4.7
62,Arraial do Cabo,0,BR,1559156104,69,-22.97,-42.02,80.6,8.05
63,Salalah,20,OM,1559156104,79,17.01,54.1,86.0,3.36
64,Bilibino,59,RU,1559156105,87,68.06,166.44,31.12,0.69
65,Noumea,0,NC,1559156105,93,-22.28,166.46,62.6,2.24
66,Albany,75,US,1559155891,67,42.65,-73.75,69.01,3.36
67,Cockburn Town,100,TC,1559156106,77,21.46,-71.14,80.8,11.9
68,Upernavik,0,GL,1559156107,74,72.79,-56.15,35.44,10.74
69,Yellowknife,75,CA,1559155801,60,62.45,-114.38,41.0,20.8
70,Tiksi,92,RU,1559156107,96,71.64,128.87,31.84,10.36
71,Havre-Saint-Pierre,1,CA,1559156108,54,50.23,-63.6,53.6,8.05
72,Victoria,75,BN,1559156108,74,5.28,115.24,84.2,3.36
73,Jamestown,0,AU,1559155798,86,-33.21,138.6,42.1,3.67
74,Lagoa,0,PT,1559156109,56,37.14,-8.45,75.99,9.17
75,General Salgado,14,BR,1559156110,56,-20.65,-50.36,86.02,7.14
76,Turukhansk,82,RU,1559156110,89,65.8,87.96,50.92,12.82
77,Vanimo,80,PG,1559155590,77,-2.67,141.3,81.7,9.89
78,Hermanus,100,ZA,1559156110,60,-34.42,19.24,68.0,5.99
79,Guerrero Negro,51,MX,1559156111,82,27.97,-114.04,61.36,10.98
80,Cape Town,0,ZA,1559156111,67,-33.93,18.42,66.99,2.24
81,Gamba,1,CN,1559156111,49,28.28,88.52,37.78,7.99
82,Shenjiamen,0,CN,1559156112,71,29.96,122.3,64.96,5.35
83,Madimba,75,CM,1559156112,88,4.42,9.93,80.6,5.82
84,Araouane,33,ML,1559156113,9,18.9,-3.53,105.46,1.25
85,Kununurra,0,AU,1559155513,36,-15.77,128.74,64.4,5.82
86,Qaanaaq,23,GL,1559156113,66,77.48,-69.36,34.54,1.68
87,Port Elizabeth,20,US,1559156114,55,39.31,-74.98,91.0,9.17
88,Bethel,40,US,1559155569,66,60.79,-161.76,53.6,8.05
89,Ribeira Grande,20,PT,1559156114,88,38.52,-28.7,68.0,9.17
90,Vao,32,EE,1559156114,59,59.1,26.19,49.12,10.38
91,Baillif,75,GP,1559156115,62,16.02,-61.75,87.8,14.99
92,Petrolina,40,BR,1559156116,36,-9.38,-40.5,91.4,8.05
93,Ambilobe,41,MG,1559156116,80,-13.19,49.05,71.98,5.55
94,Dingle,39,PH,1559156116,67,11.0,122.67,77.38,5.14
95,Kodiak,75,US,1559156117,49,39.95,-94.76,71.6,12.75
96,Kirakira,93,SB,1559155564,82,-10.46,161.92,79.9,6.4
97,Evensk,47,RU,1559156118,72,61.92,159.24,43.54,1.72
98,Mount Gambier,31,AU,1559156118,87,-37.83,140.78,44.6,9.17
99,Diofior,0,SN,1559156119,61,14.19,-16.66,107.6,20.8
100,Jahanabad,0,IR,1559156120,38,33.86,48.17,75.2,4.7
101,College,1,US,1559156120,58,64.86,-147.8,64.99,1.25
102,Litovko,100,RU,1559156120,99,49.24,135.18,45.7,4.25
103,Sitka,39,US,1559156121,63,37.17,-99.65,66.99,13.0
104,Namatanai,97,PG,1559155802,87,-3.66,152.44,77.02,5.64
105,Flinders,0,AU,1559156122,61,-34.58,150.85,48.0,16.11
